t,Brazil,SP,USA,Italy,China,Spain,Australia,Coreia Do Sul,France,Iran,Mexico
1,1,1,1,3,27,1,1,1,3,2,2
2,1,2,1,3,27,1,4,1,3,5,4
3,1,3,1,3,27,1,4,1,3,18,5
4,1,6,1,3,44,1,4,1,3,28,7
5,2,10,2,3,44,1,4,2,4,43,11
6,2,13,2,3,59,1,6,2,5,61,16
7,3,16,5,3,59,1,7,3,6,95,26
8,8,16,5,3,59,1,9,4,6,139,41
9,13,19,5,3,59,1,11,4,6,245,53
10,13,30,5,3,59,2,11,4,6,388,82
11,25,46,6,3,59,2,11,4,6,593,93
12,34,56,7,3,59,2,12,7,6,978,118
13,52,65,8,3,59,2,13,12,6,1501,164
14,77,136,11,3,59,2,14,15,6,2336,203
15,98,152,11,3,59,2,14,15,11,2922,251
16,121,164,11,3,59,2,14,16,11,3513,316
17,200,240,12,3,59,2,14,18,11,4747,367
18,234,286,12,3,63,2,14,23,11,5823,405
19,291,396,12,3,80,2,14,24,11,6566,475
20,428,459,12,3,216,2,14,24,11,7161,585
21,621,631,12,3,235,2,15,25,11,8042,717
22,904,745,13,3,386,2,15,27,11,9000,848
23,1128,810,13,17,526,2,15,28,11,10075,993
24,1546,862,14,79,623,2,15,28,12,11364,1094
25,1891,1052,15,132,882,3,15,28,12,12729,1215
26,2201,1406,15,229,1323,7,15,28,12,13938,1378
27,2433,1451,15,322,1988,12,15,28,12,14991,1510
28,2915,1517,15,400,2775,25,17,29,12,16169,1688
29,3417,2339,15,650,4528,34,21,30,12,17361,1890
30,3904,2981,15,888,5994,66,22,31,12,18407,2143
31,4256,3506,15,1128,7734,83,22,46,12,19644,2439
32,4579,4048,16,1689,9714,114,22,80,12,20610,2785
33,5717,4466,35,2036,11809,151,22,155,14,21638,3181
34,6836,4620,35,2502,14399,200,23,345,17,23049,3441
35,7910,4861,35,3089,17211,261,23,601,38,24811,3844
36,9056,5682,53,3858,20448,374,25,762,57,27017,4219
37,10278,6708,53,4636,24320,430,26,892,100,29406,4661
38,11130,8216,59,5883,28047,589,29,1146,130,32332,5014
39,12056,8419,60,7375,31207,1204,33,1595,178,35408,5399
40,13717,8755,66,9172,34625,1639,41,2022,212,38309,5847
41,15927,8895,69,10149,37232,2140,52,2931,285,41495,6297
42,17857,9371,89,12462,40206,3004,59,3526,423,44606,6875
43,19638,11043,103,15113,42696,4231,63,4212,613,47593,7497
44,20727,11156,125,17660,44724,5753,74,4812,716,50468,8261
45,22169,11568,159,21157,59865,7753,80,5328,1126,50468,8772
46,23430,12841,233,23980,64021,9191,100,5766,1412,55743,9501
47,25262,13894,338,27980,66559,11178,112,6284,1784,58226,10544
48,28320,14267,433,31506,68566,13716,126,6767,2281,60500,11633
49,30425,14580,554,35713,70618,17147,156,7134,2876,62589,12872
50,33682,15385,754,41035,72508,19980,197,7382,3661,64586,13842
51,36599,15914,1025,47021,74258,24926,249,7513,4499,66220,
52,38654,16740,1312,53578,74652,28572,298,7755,5423,68192,
53,40581,,1663,59138,75543,33089,375,7869,6633,70029,
54,43079,,2174,63927,76369,39673,454,7979,7730,71686,
55,45757,,2951,69176,77016,47610,565,8086,9134,73303,
56,49492,,3774,74386,77234,56188,709,8162,10995,74877,
57,52995,,4661,80539,77749,64059,874,8236,12612,76389,
58,58509,,6427,86498,78159,72248,1098,8320,14459,77995,
59,61888,,9415,92472,78598,78797,1709,8413,16018,79494,
60,,,14250,97689,78927,85195,1823,8565,19856,80868,
61,,,19624,101739,79355,94417,2423,8652,22302,82211,
62,,,26747,105792,79929,102136,2799,8799,25233,83505,
63,,,35206,110574,80134,110238,3166,8897,29155,84802,
64,,,46442,115242,80261,117710,3378,8961,32964,85996,
65,,,55231,119827,80380,124736,3809,9037,37575,87026,
66,,,69194,124632,80497,130759,4093,9137,40174,88194,
67,,,85991,128948,80667,135032,4557,9241,44550,89328,
68,,,104686,132547,80768,140510,4707,9332,52128,,
69,,,124665,135586,80814,146690,4976,9478,56989,,
70,,,143025,139422,80859,152446,5224,9583,59105,,
71,,,164620,143626,80879,157022,5548,9661,64338,,
72,,,189618,147577,80908,161852,5687,9786,68605,,
73,,,216721,152271,80932,166019,5744,9786,70478,,
74,,,245540,156363,80954,169496,5844,9976,74390,,
75,,,277965,159516,80973,172541,5956,10062,78167,,
76,,,312237,162488,80995,177633,6052,10156,82048,,
77,,,337635,165155,81020,182816,6152,10237,86334,,
78,,,368196,168941,81063,188068,6238,10284,90676,,
79,,,398809,172434,81086,191726,6289,10331,93790,,
80,,,432132,175925,81130,195944,6322,10384,95403,,
81,,,466033,178972,81229,200210,6366,10423,98076,,
82,,,501560,181228,81281,204178,6416,10450,103573,,
83,,,529951,183957,81346,208389,6458,10450,106206,,
84,,,557571,187327,81484,213024,6497,10512,108847,,
85,,,582594,189973,81553,219764,6533,10537,109252,,
86,,,609516,192994,81631,,6586,10564,111821,,
87,,,639664,195351,81733,,6612,10591,112606,,
88,,,671331,,81827,,6625,10613,114657,,
89,,,702164,,81946,,6647,10635,117324,,
90,,,735086,,82059,,6654,10653,119151,,
91,,,759687,,82157,,6667,10661,120804,,
92,,,787752,,82241,,6687,10674,122577,,
93,,,825041,,82295,,6703,10683,124114,,
94,,,842629,,82395,,,10694,,,
95,,,869172,,82465,,,10702,,,
96,,,890524,,82527,,,10708,,,
97,,,939053,,82575,,,10718,,,
98,,,,,82642,,,10728,,,
99,,,,,82698,,,,,,
100,,,,,82784,,,,,,
101,,,,,82870,,,,,,
102,,,,,82925,,,,,,
103,,,,,83004,,,,,,
104,,,,,83097,,,,,,
105,,,,,83209,,,,,,
106,,,,,83303,,,,,,
107,,,,,83352,,,,,,
108,,,,,83402,,,,,,
109,,,,,83754,,,,,,
110,,,,,83785,,,,,,
111,,,,,83803,,,,,,
112,,,,,83817,,,,,,
113,,,,,83849,,,,,,
114,,,,,83864,,,,,,
115,,,,,83876,,,,,,
116,,,,,83884,,,,,,
117,,,,,83899,,,,,,
118,,,,,83909,,,,,,